1.4393,2.0896,1.5900,4.4771,4.6552,"class1"
1.8774,2.5391,1.3995,3.1258,4.8305,"class1"
1.6853,1.4030,2.6008,4.0696,4.3108,"class1"
2.0795,2.9157,2.2483,5.1073,6.4476,"class1"
-0.1853,1.4000,3.3215,5.5757,4.3365,"class1"
-0.1659,0.7573,4.4277,5.0438,3.8174,"class1"
1.1487,2.0259,3.8049,4.2131,4.0811,"class1"
0.6245,0.5751,2.6610,3.5457,4.2263,"class1"
0.8324,1.5693,2.2844,3.5444,6.5974,"class1"
2.8464,3.5885,4.1185,4.2167,5.6758,"class1"
0.1014,3.0362,3.4079,5.5511,4.7612,"class1"
0.8066,1.6981,4.0531,3.8161,5.3353,"class1"
1.1467,0.6700,3.0742,2.6262,4.4594,"class1"
1.5535,3.2192,1.4367,2.5803,5.0741,"class1"
0.7458,1.5377,3.3601,3.6005,5.0016,"class1"
2.1729,1.8237,5.0898,5.8890,5.7153,"class1"
2.5127,2.8596,-0.0753,2.6100,3.9814,"class1"
0.5707,0.9489,2.6673,3.5239,3.7483,"class1"
0.2363,1.6933,1.8117,4.0190,5.5939,"class1"
0.1231,2.9878,4.2084,3.6040,4.4426,"class1"
-0.8424,1.6423,2.6823,3.6249,4.4686,"class1"
-0.1303,2.2222,1.3549,4.6804,4.3644,"class1"
0.8126,0.3685,2.0717,4.1854,4.5840,"class1"
1.4980,-0.2737,3.6815,4.3473,7.3572,"class1"
1.6686,2.3490,2.1185,3.4246,4.6686,"class1"
-0.6320,3.4333,2.9717,3.2961,4.5902,"class1"
0.9829,2.8241,1.8578,3.8525,5.2287,"class1"
1.0024,2.8282,5.7823,3.5526,5.0220,"class1"
-0.5066,1.6281,3.8248,3.8315,6.1109,"class1"
-0.1948,1.1639,2.7102,5.1560,5.7034,"class1"
0.4067,2.6116,0.8710,4.2395,2.9249,"class1"
0.2751,1.5913,1.9993,2.4465,4.5758,"class1"
0.9083,2.3425,2.1697,4.1358,4.4344,"class1"
1.2832,3.7723,3.0075,5.0528,6.0799,"class1"
0.4942,2.3512,2.3062,5.5613,5.3098,"class1"
0.7251,2.1479,4.4241,5.2007,6.2960,"class1"
2.9647,0.6114,2.8805,4.3050,4.5329,"class1"
1.2176,1.5678,2.5132,3.8340,6.0152,"class1"
0.6175,2.0904,4.1352,3.7759,4.4984,"class1"
0.9492,1.3299,4.8123,3.1508,6.6400,"class1"
1.6082,0.4828,3.3814,4.4771,5.0784,"class1"
1.9989,1.1200,1.5435,3.8168,5.5883,"class1"
0.8479,2.0281,3.9642,3.2037,3.7709,"class1"
1.4980,1.5437,3.4108,4.6103,4.0791,"class1"
0.6036,3.4944,2.4818,6.1690,6.1656,"class1"
1.3890,1.3861,1.8780,3.4095,5.1387,"class1"
0.1202,2.2455,3.6855,3.3738,5.4812,"class1"
3.9085,3.7684,4.5499,5.3877,5.3890,"class1"
0.3399,0.3976,3.7735,4.4181,5.9458,"class1"
0.4174,3.2161,3.4166,3.6282,4.8334,"class1"
3.4800,5.4461,3.6902,3.1750,1.1826,"class2"
4.7655,3.2536,1.0064,-0.8421,1.6982,"class2"
5.5007,4.4803,3.0932,1.3541,2.9684,"class2"
6.1392,3.4138,4.5667,3.2133,2.5156,"class2"
5.5908,4.4700,3.0813,2.1659,2.6271,"class2"
4.8272,3.8069,2.3197,1.2824,0.5911,"class2"
3.3503,4.5790,5.3309,3.1745,0.9677,"class2"
4.4241,4.1182,1.8270,1.9688,0.3187,"class2"
4.4644,2.9803,3.6540,1.6936,0.5084,"class2"
4.3425,5.1029,3.0045,0.4885,2.4913,"class2"
4.5210,2.1798,1.4690,2.1431,2.1509,"class2"
5.4654,4.6550,3.1262,2.0461,1.3139,"class2"
4.2436,3.2822,2.4151,2.6936,2.2809,"class2"
4.8531,3.0286,2.1980,3.4901,1.8440,"class2"
3.1600,4.9225,2.8776,2.4516,0.2973,"class2"
3.3771,4.0423,2.0035,1.0696,0.6624,"class2"
3.9635,2.5142,2.9179,0.9775,0.3984,"class2"
4.6677,3.4113,2.1833,2.1205,0.8227,"class2"
5.6857,3.4733,3.8618,1.4222,0.5505,"class2"
3.9468,2.3868,2.1536,1.8442,0.3120,"class2"
7.3477,3.3037,2.0272,2.3756,0.4323,"class2"
5.2821,4.6179,3.2645,0.7404,1.8809,"class2"
5.2229,4.6429,2.4938,3.5811,0.1070,"class2"
4.5179,3.7801,1.9257,-0.5741,1.4300,"class2"
4.7052,4.0394,2.3961,2.7887,0.6774,"class2"
5.0346,4.6203,0.7137,1.7830,-0.0267,"class2"
6.0748,2.8718,2.3336,2.4737,0.4262,"class2"
5.0281,5.2860,2.1385,2.8840,0.7530,"class2"
5.0169,2.8797,3.5428,1.8055,2.4519,"class2"
4.3536,1.0535,4.5545,1.9545,1.8349,"class2"
5.6766,3.2085,2.9504,1.0246,0.6050,"class2"
4.4769,5.7723,1.6953,3.1379,1.7373,"class2"
4.8177,5.0243,3.3813,3.6370,0.7614,"class2"
5.5951,5.4787,4.0764,1.6216,1.0822,"class2"
4.7222,2.1082,1.8549,1.6932,1.1058,"class2"
7.7896,3.9915,2.6763,1.5480,0.1151,"class2"
5.4120,2.6875,3.7566,0.9722,0.7502,"class2"
4.5883,3.8044,3.8699,1.9470,0.3138,"class2"
3.4870,2.8441,2.1017,0.6812,2.1784,"class2"
5.0175,3.3886,2.0115,-0.2318,2.2077,"class2"
4.0947,3.5247,4.1796,1.9241,1.6772,"class2"
5.8966,3.8082,1.2027,3.5281,1.5444,"class2"
6.8803,4.4321,2.8626,1.7508,1.1608,"class2"
6.4157,4.1672,1.6439,1.6797,1.2390,"class2"
4.4363,3.8092,1.8215,3.0560,1.9876,"class2"
5.6008,3.0750,1.6233,3.2283,1.3825,"class2"
5.9416,2.4546,4.4515,2.2453,-0.0465,"class2"
5.2871,4.1016,4.0438,0.0248,3.2395,"class2"
5.6774,3.0449,6.5517,1.5913,1.7522,"class2"
6.5759,3.5875,3.4361,2.3895,2.9913,"class2"
